ensembl_gene_id,study,ASD_DEUp_Voineagu,ASD_DEDown_Voineagu,ASD_CoexDown_M12_Voineagu,ASD_CoexUp_M16_Voineagu,ASD_CoexDown_M1_Gupta,ASD_CoexUp_M6_Gupta,ASD_CoexUp_M5_Gupta,Up,Down
ENSG00000137274,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000119946,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000103528,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000160741,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000117632,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000172500,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000164088,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000077080,Voineagu,0,1,1,0,NA,NA,NA,NA,NA
ENSG00000101444,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168591,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000089163,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000184470,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000106615,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000148450,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000166848,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000101126,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000139793,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000166426,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000143153,Voineagu,0,1,0,0,NA,NA,NA,NA,NA
ENSG00000189144,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000170324,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000138311,Voineagu,0,1,1,0,NA,NA,NA,NA,NA
ENSG00000100815,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000130758,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000160179,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000185721,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000137802,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000005448,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000214253,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000111642,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000173402,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000183605,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000117362,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000183617,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000019505,Voineagu,0,1,0,0,NA,NA,NA,NA,NA
ENSG00000110721,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000124313,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000158296,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000054356,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000113645,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000178498,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000166788,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000124635,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100150,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000162735,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000096070,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000163463,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000103415,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000063015,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000141858,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000078061,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000106688,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000074181,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000172354,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000133069,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000147669,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000117394,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000227804,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000139168,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000104725,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000174307,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134461,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000165233,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000176884,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000131759,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000109911,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000111445,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000102978,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000054523,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000158716,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000120868,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168883,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000159479,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000058262,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000142920,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000151834,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000108679,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000198373,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000077348,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000140326,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000005893,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000145741,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000151929,Voineagu,1,0,0,1,NA,NA,NA,NA,NA
ENSG00000164796,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000226033,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000119866,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000155097,Voineagu,0,1,0,0,NA,NA,NA,NA,NA
ENSG00000166398,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000099940,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000173457,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000147065,Voineagu,1,0,0,1,NA,NA,NA,NA,NA
ENSG00000156052,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000087074,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000112365,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000115266,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
